
LIMIT_BAL	SEX	EDUCATION	MARRIAGE	AGE	PAY_0	PAY_2	PAY_3	PAY_4	PAY_5	PAY_6	BILL_AMT1	BILL_AMT2	BILL_AMT3	BILL_AMT4	BILL_AMT5	BILL_AMT6	PAY_AMT1	PAY_AMT2	PAY_AMT3	PAY_AMT4	PAY_AMT5	PAY_AMT6	default payment next month
370000	1	2	2	28	0	0	0	0	0	0	276436	239025	149128	48907	53025	51434	20000	13000	5000	10000	4000	6000	0
30000	2	2	1	31	0	0	2	0	0	0	29493	19433	18782	19006	19637	21251	3200	0	742	1000	2000	0	0
150000	1	3	2	39	1	-1	-1	-2	-2	-2	214450	147280	150000	0	-5000	0	5180	5000	0	0	5000	0	0
60000	1	3	1	31	2	0	0	-2	-2	-2	35369	35320	0	0	0	0	1027	0	0	0	0	0	1
80000	2	2	2	24	0	0	0	0	0	0	77615	77303	66396	55639	56873	58390	3100	2586	2000	2500	3000	2500	0
280000	2	2	1	44	2	2	2	2	2	2	186149	181779	192189	195517	199250	195874	0	15000	8000	7000	0	15000	1
20000	2	2	2	46	8	7	6	5	4	3	21075	20795	20206	19617	18737	18148	0	0	0	0	0	0	0
270000	1	1	2	32	-2	-2	-2	-2	-2	-2	0	0	1100	300	-200	-200	0	1100	300	0	0	0	0
240000	2	2	2	26	0	0	-1	-1	-1	-1	14348	7500	7816	7500	7500	14497	1000	7816	7500	7500	14497	500	0
20000	2	1	2	22	0	0	0	0	0	0	20137	20179	18067	18666	19115	19547	1300	1301	900	900	900	1600	0
450000	2	1	1	42	1	-2	-2	-1	-1	-2	-200	-200	0	42000	0	0	0	200	42000	0	0	0	1
10000	1	2	2	33	0	0	0	0	0	0	8177	9131	9669	7624	8049	6857	2500	1145	1000	1000	1000	1500	0
280000	1	2	1	39	-2	-2	-2	-2	-2	-2	2082	3557	5623	5400	3866	3526	3597	5672	5427	3885	3543	3519	1
290000	2	3	2	27	0	0	0	0	-1	-1	13820	15614	16293	7760	2000	0	2000	1300	0	2000	1000	0	0
190000	2	1	2	28	0	0	0	0	0	0	46923	48666	49347	50386	43883	34412	2500	2000	3000	2000	2000	2000	1
80000	2	1	2	23	0	0	0	0	0	-1	53261	38091	19744	14556	0	1460	4500	2011	3105	0	1460	0	0
280000	2	2	2	28	-1	2	-1	-1	0	-1	427	298	1179	1714	2875	1047	0	1179	1714	1290	1047	1000	0
160000	2	1	1	33	-2	-2	-2	-2	-2	-2	14150	8106	12431	12145	13391	7957	8106	12431	12145	13391	7957	1905	0
90000	1	2	1	40	0	0	0	-1	-1	-1	42856	44925	0	787	1457	0	3114	0	787	1457	0	0	1
140000	2	1	2	37	-1	-1	-1	-2	-2	-1	1034	40000	0	0	0	510	40000	0	0	0	510	0	0
50000	1	1	2	22	0	0	0	0	0	-1	5137	5960	6270	6000	5810	390	1300	1000	120	200	390	1170	0
40000	2	2	1	32	0	0	0	2	2	2	24114	25417	28777	29107	29693	30456	2000	4110	1100	1200	1400	0	0
130000	2	3	1	43	0	0	0	0	0	0	130067	129385	96775	98071	97743	100124	5540	4403	3814	3562	4021	3681	0
70000	2	3	1	27	0	0	0	0	0	2	61611	62711	63695	63926	67361	59480	3011	3095	2000	4600	0	2258	0
30000	2	2	1	35	0	0	0	0	0	0	25078	25538	25880	25873	26157	26918	1500	1387	893	1000	1501	2000	0
100000	2	3	1	35	1	2	2	2	2	2	97002	102698	97997	103384	97266	101492	8200	0	8000	0	8600	0	0
20000	2	1	1	30	2	2	2	0	0	0	5766	7511	7678	7318	7458	7598	2000	500	0	500	500	0	1
30000	2	2	2	34	2	-1	2	2	2	2	99568	32326	31840	37075	37662	36904	33000	33000	5810	1325	0	3095	0
20000	1	2	1	34	0	0	0	0	0	0	12857	14183	14890	15642	16387	17113	1541	1248	1000	1000	1000	1000	1
100000	2	1	2	28	2	0	0	0	0	0	96193	82342	81967	82177	78840	79261	3600	3800	3000	3000	3023	3000	1
30000	1	2	2	25	2	2	7	7	7	6	2400	2400	2400	2400	2400	1800	0	0	0	0	0	0	1
320000	2	1	1	41	0	0	0	0	0	0	97797	99672	101953	102284	104090	105859	4520	5050	3590	3700	3750	3510	0
90000	1	3	2	42	2	2	2	2	2	2	64762	63164	32789	31641	29240	28306	0	2900	0	2500	0	1300	1
190000	1	2	2	40	2	2	2	2	2	2	145613	156765	159386	161870	165725	169928	15000	6600	6500	6500	7000	7000	1
200000	1	1	2	28	0	0	0	0	0	0	71989	122129	147936	149573	152574	156323	52129	30000	6000	6000	7000	10000	0
300000	2	2	2	31	-1	-1	-1	-1	0	-1	3345	1083	4339	7423	4059	2508	1087	4355	7423	0	2508	4141	0
30000	2	1	2	56	-1	0	0	-2	-2	-2	29033	17013	7024	7024	7024	7024	1283	7024	7024	7024	7024	7024	0
110000	2	2	3	45	0	0	0	0	0	0	26650	20787	20566	21158	22141	22158	1532	2000	783	3000	2000	2000	0
230000	2	1	2	29	-2	-2	-2	-2	-2	-2	0	0	1024	0	0	0	0	1024	0	0	0	0	0
230000	2	1	1	35	0	0	0	0	-2	-2	4259	5432	6182	0	0	0	1250	1000	0	0	0	0	0
310000	2	2	2	28	0	0	0	0	0	0	106468	108955	112374	54762	58189	57170	8000	6000	5000	5000	4000	5000	0
320000	1	1	1	40	0	0	0	0	0	0	247276	241167	238196	231580	229683	235837	10000	10000	10000	19000	13000	8000	0
360000	1	1	1	47	-1	-1	-1	0	-1	-1	1548	-32	177639	174397	4852	4125	0	177671	3508	4876	4188	10007	0
20000	2	3	1	41	-1	-1	-1	0	0	0	780	0	732	642	1252	643	0	732	300	1000	500	1000	1
170000	2	2	2	27	0	0	0	0	0	0	162671	166202	161973	167201	161327	171863	7500	6000	10000	7000	16000	6200	0
140000	1	1	1	40	0	0	0	0	0	0	123049	125616	129695	130735	133467	136287	4310	5913	4426	4580	4770	4767	0
80000	1	2	2	32	0	0	0	0	0	0	51372	51872	47593	43882	42256	42527	1853	1700	1522	1548	1488	1500	0
150000	1	2	2	35	0	0	0	-1	-1	-1	60015	72227	51364	54340	0	2129	20000	30000	54340	0	2129	0	0
170000	1	2	2	27	-1	2	2	-2	-2	-2	1170	780	0	0	0	0	0	0	0	0	0	0	0
200000	2	2	1	29	2	0	0	0	0	0	159398	156955	132144	119136	122211	125021	6163	4530	4500	5000	5000	5000	1
70000	1	1	2	30	0	0	2	0	0	2	55664	59529	57571	57871	60872	59329	5800	0	2250	4500	0	2500	0
320000	1	2	1	37	-2	-2	-2	-2	-2	-2	43528	498	429	14257	5417	2967	500	431	14328	5439	2980	5028	0
150000	2	1	2	29	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
50000	2	1	1	34	0	0	0	-1	0	0	27966	28539	11597	6611	7349	7570	1267	1553	7511	1000	343	1000	0
90000	2	2	2	34	-1	2	2	-2	-2	-2	8792	7500	0	0	0	0	0	0	0	0	0	0	0
280000	1	1	1	41	-2	-2	-2	-2	-1	0	28026	41302	51500	35752	3955	13969	41346	52110	35752	3955	13939	4437	0
300000	2	1	2	31	0	0	0	0	2	-1	43610	43280	36156	30305	30155	561	1655	1797	750	0	561	500	0
400000	2	2	2	40	-2	-2	-2	-2	-1	-1	0	8235	0	0	1524	0	8235	0	0	1524	0	385	0
200000	2	1	1	27	-1	-1	-1	-1	-1	-1	5780	105	105	0	7384	8588	105	105	0	7384	8588	1304	0
10000	2	3	2	22	0	0	0	0	-2	-2	8109	9778	8259	0	0	0	2000	1036	0	0	0	0	1
50000	2	2	3	30	1	3	2	0	0	0	52515	51424	49967	20036	20076	37615	0	0	2000	1000	1000	1600	1
30000	2	2	3	22	1	2	4	3	2	2	22582	26518	25814	25110	24569	26357	4600	0	0	0	2200	2500	0
50000	1	1	2	26	-1	0	0	0	0	0	15448	16392	18096	18425	18619	19060	1500	2000	1500	1200	900	1000	1
50000	1	2	1	38	1	2	0	0	0	0	58102	59011	56272	53663	51507	50616	2500	2500	2000	2000	3200	2000	0
30000	2	3	1	46	1	2	2	2	2	2	12289	11806	13268	12758	13549	14673	0	1970	0	1000	1500	0	0
20000	1	2	2	24	0	0	-1	2	0	0	10476	7279	688	688	688	1320	1000	688	0	0	650	0	0
20000	1	2	2	49	0	0	0	0	0	0	16326	17497	18456	18424	18800	10000	1441	1400	368	376	200	0	0
50000	1	1	3	49	0	0	0	0	0	0	17681	18249	18054	18569	19152	18088	1611	2000	780	1000	1000	2000	0
